title,text,subject,date,label
Researchers publish findings on technology in a peer-reviewed study,"Researchers publish findings on technology in a peer-reviewed study. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding technology.",technology,2025-02-02,1
University study examines the impact of science on communities,"University study examines the impact of science on communities. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding science.",science,2025-03-03,1
"New data shows changes in politics, according to researchers","New data shows changes in politics, according to researchers. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding politics.",politics,2025-04-04,1
Researchers publish findings on international in a peer-reviewed study,"Researchers publish findings on international in a peer-reviewed study. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding international.",international,2025-05-05,1
Researchers publish findings on social media in a peer-reviewed study,"Researchers publish findings on social media in a peer-reviewed study. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding social media.",social media,2025-06-06,1
Experts discuss recent developments in technology during a public briefing,"Experts discuss recent developments in technology during a public briefing. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding technology.",technology,2025-07-07,1
Government agency releases new report on health after reviewing available evidence,"Government agency releases new report on health after reviewing available evidence. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding health.",health,2025-08-08,1
"New data shows changes in science, according to researchers","New data shows changes in science, according to researchers. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding science.",science,2025-09-09,1
Scientists report additional evidence about social media following a new study,"Scientists report additional evidence about social media following a new study. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding social media.",social media,2025-10-10,1
Government agency releases new report on international after reviewing available evidence,"Government agency releases new report on international after reviewing available evidence. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding international.",international,2025-11-11,1
"New data shows changes in international, according to researchers","New data shows changes in international, according to researchers. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding international.",international,2025-12-12,1
Experts discuss recent developments in science during a public briefing,"Experts discuss recent developments in science during a public briefing. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding science.",science,2025-01-13,1
New policy related to social media receives formal approval from authorities,"New policy related to social media receives formal approval from authorities. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding social media.",social media,2025-02-14,1
University study examines the impact of technology on communities,"University study examines the impact of technology on communities. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding technology.",technology,2025-03-15,1
Officials announce updated measures related to environment,"Officials announce updated measures related to environment. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding environment.",environment,2025-04-16,1
International organization publishes its latest assessment of business,"International organization publishes its latest assessment of business. The information was discussed using publicly available reports and statements. Officials and researchers said that the findings should be interpreted in context and that additional information may be published as the situation develops. The report focuses on evidence, recent observations, and the background surrounding business.",business,2025-05-17,1
