title,text,subject,date,label
Online rumor claims shocking new information about science,Online rumor claims shocking new information about science. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about science.,science,2025-02-02,0
Unverified report says authorities are secretly planning a huge change in sports,Unverified report says authorities are secretly planning a huge change in sports. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about sports.,sports,2025-03-03,0
Internet explodes after unbelievable claim about technology spreads online,Internet explodes after unbelievable claim about technology spreads online. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about technology.,technology,2025-04-04,0
"Shocking secret about business finally revealed, experts say","Shocking secret about business finally revealed, experts say. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about business.",business,2025-05-05,0
"Shocking secret about social media finally revealed, experts say","Shocking secret about social media finally revealed, experts say. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about social media.",social media,2025-06-06,0
"Shocking secret about health finally revealed, experts say","Shocking secret about health finally revealed, experts say. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about health.",health,2025-07-07,0
You will not believe what supposedly happened with international,You will not believe what supposedly happened with international. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about international.,international,2025-08-08,0
"Shocking secret about environment finally revealed, experts say","Shocking secret about environment finally revealed, experts say. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about environment.",environment,2025-09-09,0
Online rumor claims shocking new information about international,Online rumor claims shocking new information about international. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about international.,international,2025-10-10,0
Viral post makes extraordinary claim about sports without providing evidence,Viral post makes extraordinary claim about sports without providing evidence. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about sports.,sports,2025-11-11,0
Unverified report says authorities are secretly planning a huge change in education,Unverified report says authorities are secretly planning a huge change in education. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about education.,education,2025-12-12,0
Online rumor claims shocking new information about environment,Online rumor claims shocking new information about environment. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about environment.,environment,2025-01-13,0
Breaking: mysterious discovery about education allegedly changes everything,Breaking: mysterious discovery about education allegedly changes everything. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about education.,education,2025-02-14,0
You will not believe what supposedly happened with education,You will not believe what supposedly happened with education. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about education.,education,2025-04-16,0
Social media users claim a hidden truth about environment has been uncovered,Social media users claim a hidden truth about environment has been uncovered. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about environment.,environment,2025-05-17,0
Online rumor claims shocking new information about technology,Online rumor claims shocking new information about technology. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about technology.,technology,2025-06-18,0
Unverified report says authorities are secretly planning a huge change in environment,Unverified report says authorities are secretly planning a huge change in environment. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about environment.,environment,2025-09-21,0
Anonymous source claims major changes in technology are being hidden from the public,Anonymous source claims major changes in technology are being hidden from the public. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about technology.,technology,2025-10-22,0
Online rumor claims shocking new information about health,Online rumor claims shocking new information about health. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about health.,health,2025-11-23,0
Sensational story about business goes viral despite lack of official confirmation,Sensational story about business goes viral despite lack of official confirmation. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about business.,business,2025-12-24,0
Unverified report says authorities are secretly planning a huge change in social media,Unverified report says authorities are secretly planning a huge change in social media. The claim has circulated widely on social media and several posts repeat the story without identifying a reliable source. The article uses dramatic language and provides no verifiable documentation to support the central claim. Readers are encouraged to share the story before checking whether independent sources have confirmed the information about social media.,social media,2025-02-26,0
